GivenName,Surname,Username,Password,Department,JobTitle,TelephoneNumber
James,Isom,jisom,PASSWORD,Battery Technology,Battery Engineer,914-773-3406
Steven,Klein,sklein,PASSWORD,Battery Technology,Battery Engineer,914-773-3406
Deborah,Mahan,dmahan,PASSWORD,Battery Technology,Hydroelectric Analyst,914-773-3406
Victoria,Langlais,vlanglais,PASSWORD,Battery Technology,Hydroelectric Analyst,914-773-3406
Michael,Bice,mbice,PASSWORD,Battery Technology,IoT Specialist,914-773-3406
Glenn,Adams,gadams,PASSWORD,Battery Technology,OT Manager,914-773-3406
Jessica,Barnes,jbarnes,PASSWORD,Battery Technology,OT Manager,914-773-3406
Mary,Martin,mmartin,PASSWORD,Battery Technology,OT Manager,914-773-3406
Joy,Hughes,jhughes,PASSWORD,Battery Technology,Product Designer,914-773-3406
Maxine,Klein,mklein,PASSWORD,Battery Technology,Quality Control Engineer,914-773-3406
Rebecca,Smith,rsmith,PASSWORD,Battery Technology,Quality Control Engineer,914-773-3406
Ella,Rosson,erosson,PASSWORD,Battery Technology,Sustainability Coordinator,914-773-3406
John,Wong,jwong,PASSWORD,Battery Technology,Sustainability Coordinator,914-773-3406
Susan,Edwards,sedwards,PASSWORD,Battery Technology,Sustainability Coordinator,914-773-3406
Donald,Costa,dcosta,PASSWORD,Customer Service,Advisor,914-773-3406
Laura,Fowler,lfowler,PASSWORD,Customer Service,Advisor,914-773-3406
Deborah,Clark,dclark,PASSWORD,Customer Service,Analyst,914-773-3406
Patricia,Pardee,ppardee,PASSWORD,Customer Service,Analyst,914-773-3406
Kristopher,Situ,ksitu,PASSWORD,Customer Service,Assistant,914-773-3406
Mark,Leary,mleary,PASSWORD,Customer Service,Assistant,914-773-3406
Jule,Brock,jbrock,PASSWORD,Customer Service,Coordinator,914-773-3406
Jeffery,Grimes,jgrimes,PASSWORD,Customer Service,Coordinator,914-773-3406
Robert,Santos,rsantos,PASSWORD,Customer Service,Coordinator,914-773-3406
Theresa,Seng,tseng,PASSWORD,Customer Service,Coordinator,914-773-3406
Katie,Lawrence,klawrence,PASSWORD,Customer Service,Director,914-773-3406
Marsha,Bandy,mbandy,PASSWORD,Customer Service,Director,914-773-3406
Evangelina,Greenwood,egreenwood,PASSWORD,Customer Service,Manager,914-773-3406
Barbara,Roberts,broberts,PASSWORD,Customer Service,Specialist,914-773-3406
Robert,Jarvis,rjarvis,PASSWORD,Customer Service,Specialist,914-773-3406
Lauren,Lubin,llubin,PASSWORD,Executive,CEO,914-773-3406
Luther,Knight,lknight,PASSWORD,Executive,CFO,914-773-3406
Blanche,Callahan,bcallahan,PASSWORD,Executive,CHRM,914-773-3406
Wanda,Leffel,wleffel,PASSWORD,Executive,CIO,914-773-3406
Loretta,Graves,lgraves,PASSWORD,Executive,CMO,914-773-3406
Ian,Ortega,iortega,PASSWORD,Executive,COO,914-773-3406
Mark,Brown,mbrown,PASSWORD,Executive,Senior VP,914-773-3406
Cesar,Thompson,cthompson,PASSWORD,Finance,Advisor,914-773-3406
Perry,Strachan,pstrachan,PASSWORD,Finance,Advisor,914-773-3406
Athena,McKenzie,amckenzie,PASSWORD,Finance,Analyst,914-773-3406
Gerald,List,glist,PASSWORD,Finance,Assistant,914-773-3406
Tina,Baez,tbaez,PASSWORD,Finance,Assistant,914-773-3406
Joanne,Sparks,jsparks,PASSWORD,Finance,Coordinator,914-773-3406
Martin,Chisholm,mchisholm,PASSWORD,Finance,Coordinator,914-773-3406
Sara,Laughter,slaughter,PASSWORD,Finance,Coordinator,914-773-3406
Doris,Bouknight,dbouknight,PASSWORD,Finance,Director,914-773-3406
Donna,Thurmond,dthurmond,PASSWORD,Finance,Director,914-773-3406
Jason,Davis,jdavis,PASSWORD,Finance,Director,914-773-3406
Damian,Randall,drandall,PASSWORD,Finance,Manager,914-773-3406
Brittany,Santos,bsantos,PASSWORD,Human Resources,Advisor,914-773-3406
Carol,Eakes,ceakes,PASSWORD,Human Resources,Advisor,914-773-3406
Don,Sutton,dsutton,PASSWORD,Human Resources,Advisor,914-773-3406
Patricia,Wimberly,pwimberly,PASSWORD,Human Resources,Advisor,914-773-3406
Jerry,Anderson,janderson,PASSWORD,Human Resources,Assistant,914-773-3406
Thomas,Dupree,tdupree,PASSWORD,Human Resources,Assistant,914-773-3406
Melvin,Landin,mlandin,PASSWORD,Human Resources,Assistant Manager,914-773-3406
Nancy,Bolton,nbolton,PASSWORD,Human Resources,Coordinator,914-773-3406
Willie,Golson,wgolson,PASSWORD,Human Resources,Coordinator,914-773-3406
Travis,Grant,tgrant,PASSWORD,Human Resources,Manager,914-773-3406
Cecile,Cockerham,ccockerham,PASSWORD,Human Resources,Specialist,914-773-3406
Claudia,Dennis,cdennis,PASSWORD,Human Resources,Specialist,914-773-3406
Rodrigo,Nelson,rnelson,PASSWORD,Hydro-Electric Engineering,Battery Engineer,914-773-3406
Clora,Uribe,curibe,PASSWORD,Hydro-Electric Engineering,Hydroelectric Analyst,914-773-3406
Barbara,Witham,bwitham,PASSWORD,Hydro-Electric Engineering,IoT Specialist,914-773-3406
Christopher,Echevarria,cechevarria,PASSWORD,Hydro-Electric Engineering,OT Manager,914-773-3406
Richard,Ford,rford,PASSWORD,Hydro-Electric Engineering,OT Manager,914-773-3406
Ronald,Garay,rgaray,PASSWORD,Hydro-Electric Engineering,OT Manager,914-773-3406
Therese,Thornhill,tthornhill,PASSWORD,Hydro-Electric Engineering,OT Manager,914-773-3406
Richard,Sanchez,rsanchez,PASSWORD,Hydro-Electric Engineering,Product Designer,914-773-3406
Stephan,Barrett,sbarrett,PASSWORD,Hydro-Electric Engineering,Product Designer,914-773-3406
Jackie,Dorsey,jdorsey,PASSWORD,Hydro-Electric Engineering,Quality Control Engineer,914-773-3406
Kenneth,Carr,kcarr,PASSWORD,Hydro-Electric Engineering,Quality Control Engineer,914-773-3406
Marilyn,Watters,mwatters,PASSWORD,Hydro-Electric Engineering,Quality Control Engineer,914-773-3406
Alan,Resnick,aresnick,PASSWORD,Hydro-Electric Engineering,Sustainability Coordinator,914-773-3406
Andres,Cunningham,acunningham,PASSWORD,IoT Development,Battery Engineer,914-773-3406
John,White,jwhite,PASSWORD,IoT Development,Battery Engineer,914-773-3406
Anthony,Rupert,arupert,PASSWORD,IoT Development,Hydroelectric Analyst,914-773-3406
Christopher,Hughs,chughs,PASSWORD,IoT Development,Hydroelectric Analyst,914-773-3406
Richard,Tisdale,rtisdale,PASSWORD,IoT Development,OT Manager,914-773-3406
Gloria,Taylor,gtaylor,PASSWORD,IoT Development,Product Designer,914-773-3406
James,Phillips,jphillips,PASSWORD,IoT Development,Product Designer,914-773-3406
Karin,Mills,kmills,PASSWORD,IoT Development,Product Designer,914-773-3406
Sarah,Marmol,smarmol,PASSWORD,IoT Development,Quality Control Engineer,914-773-3406
John,Chandler,jchandler,PASSWORD,IoT Development,Sustainability Coordinator,914-773-3406
Justin,Fields,jfields,PASSWORD,IoT Development,Sustainability Coordinator,914-773-3406
Edith,Johnson,ejohnson,PASSWORD,IT,Advisor,914-773-3406
Howard,Faller,hfaller,PASSWORD,IT,Advisor,914-773-3406
James,Black,jblack,PASSWORD,IT,Advisor,914-773-3406
Lonnie,Poteet,lpoteet,PASSWORD,IT,Advisor,914-773-3406
Ryan,Evans,revans,PASSWORD,IT,Advisor,914-773-3406
Victoria,Alcorn,valcorn,PASSWORD,IT,Advisor,914-773-3406
Frederick,Gaiter,fgaiter,PASSWORD,IT,Assistant,914-773-3406
Lola,Morse,lmorse,PASSWORD,IT,Assistant,914-773-3406
Marie,Carlson,mcarlson,PASSWORD,IT,Assistant,914-773-3406
Shirley,Hummel,shummel,PASSWORD,IT,Assistant,914-773-3406
Richard,Hooser,rhooser,PASSWORD,IT,Coordinator,914-773-3406
Vincent,Seitz,vseitz,PASSWORD,IT,Manager,914-773-3406
Emma,Mitchell,emitchell,PASSWORD,IT,Specialist,914-773-3406
Samuel,Busch,sbusch,PASSWORD,IT,Specialist,914-773-3406
James,Holbrook,jholbrook,PASSWORD,Marketing,Advisor,914-773-3406
Joanne,Willis,jwillis,PASSWORD,Marketing,Advisor,914-773-3406
Nathaniel,Watson,nwatson,PASSWORD,Marketing,Analyst,914-773-3406
Andrew,Dukes,adukes,PASSWORD,Marketing,Assistant,914-773-3406
Norman,Weis,nweis,PASSWORD,Marketing,Assistant,914-773-3406
Wayne,Cleveland,wcleveland,PASSWORD,Marketing,Assistant,914-773-3406
Mark,Jessie,mjessie,PASSWORD,Marketing,Coordinator,914-773-3406
Perry,Gilchrist,pgilchrist,PASSWORD,Marketing,Coordinator,914-773-3406
Doris,Hornick,dhornick,PASSWORD,Marketing,Director,914-773-3406
Earl,Giles,egiles,PASSWORD,Marketing,Director,914-773-3406
Wilbur,Noland,wnoland,PASSWORD,Marketing,Manager,914-773-3406
